Hardkey,c
"{""input"":{""keyCode"":""BACK"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",247125
"{""input"":{""keyCode"":""BACK"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",247002
"{""input"":{""keyCode"":""MENU"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",41511
"{""input"":{""keyCode"":""MENU"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",41476
"{""input"":{""keyCode"":""MUTE"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",39223
"{""input"":{""keyCode"":""MUTE"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",39213
"{""input"":{""keyCode"":""END"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",35923
"{""input"":{""keyCode"":""END"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",35921
"{""input"":{""keyCode"":""SEND"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",33585
"{""input"":{""keyCode"":""SEND"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",33583
"{""input"":{""keyCode"":""VOLUME_UP"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",17989
"{""input"":{""keyCode"":""VOLUME_UP"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",17746
"{""input"":{""keyCode"":""MEDIA"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",16394
"{""input"":{""keyCode"":""MEDIA"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",16356
"{""input"":{""keyCode"":""ON"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",16300
"{""input"":{""keyCode"":""ON"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",16290
"{""input"":{""keyCode"":""VOLUME_DOWN"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",16081
"{""input"":{""keyCode"":""VOLUME_DOWN"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",15885
"{""input"":{""keyCode"":""NAVI"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",13870
"{""input"":{""keyCode"":""NAVI"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",13862
"{""input"":{""keyCode"":""RADIO"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",12383
"{""input"":{""keyCode"":""RADIO"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",12356
"{""input"":{""keyCode"":""PTT"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",10458
"{""input"":{""keyCode"":""PTT"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",10453
"{""input"":{""keyCode"":""BGA"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",8171
"{""input"":{""keyCode"":""BGA"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",8169
"{""input"":{""keyCode"":""CAR"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",6390
"{""input"":{""keyCode"":""CAR"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",6371
"{""input"":{""keyCode"":""PHONE"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",4485
"{""input"":{""keyCode"":""PHONE"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",4482
"{""input"":{""keyCode"":""SEAT"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",3447
"{""input"":{""keyCode"":""SEAT"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",3444
"{""input"":{""keyCode"":""FAVORITE"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",3247
"{""input"":{""keyCode"":""FAVORITE"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",3245
"{""input"":{""keyCode"":""SKIP_FW"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",1186
"{""input"":{""keyCode"":""SKIP_FW"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",1144
"{""input"":{""keyCode"":""SKIP_BW"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",372
"{""input"":{""keyCode"":""PLAY_PAUSE "",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",368
"{""input"":{""keyCode"":""PLAY_PAUSE "",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",359
"{""input"":{""keyCode"":""SKIP_BW"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",355
"{""input"":{""keyCode"":""WEB"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",246
"{""input"":{""keyCode"":""WEB"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",238
